event,stat,feature,corr_r,abs_r,corr_level,p_value,sig_level,fold_change,fc_level,growth_pct,mean_benign,mean_malicious,cohen_d,cohen_d_level,p_fdr,sig_fdr
cpu_core_dTLB-store-misses_,med,cpu_core_dTLB-store-misses__med,0.1962,0.1962,弱相关,0.0,极显著,3.576,高差异,257.599,30328.2255,108453.4373,0.431,小效应,0.0,显著
cpu_core_dTLB-stores_,mean,cpu_core_dTLB-stores__mean,0.1627,0.1627,弱相关,0.0,极显著,1.5386,中等差异,53.8619,49624919.4141,76353821.5057,0.3552,小效应,0.0,显著
cpu_core_dTLB-stores_,std,cpu_core_dTLB-stores__std,-0.2123,0.2123,弱相关,0.0,极显著,0.7046,低差异,-29.5437,67964177.4595,47885062.479,-0.468,小效应,0.0,显著
cpu_core_dTLB-stores_,max,cpu_core_dTLB-stores__max,-0.1774,0.1774,弱相关,0.0,极显著,0.7657,低差异,-23.4272,307074206.2129,235135325.523,-0.3883,小效应,0.0,显著
cpu_core_dTLB-stores_,med,cpu_core_dTLB-stores__med,0.2872,0.2872,弱相关,0.0,极显著,4.0481,高差异,304.8066,16237394.2647,65730047.4385,0.6458,中等效应,0.0,显著
cpu_core_instructions_7,mean,cpu_core_instructions_7_mean,0.1676,0.1676,弱相关,0.0,极显著,1.5322,中等差异,53.2247,324899488.5402,497826271.8275,0.3662,小效应,0.0,显著
cpu_core_instructions_7,std,cpu_core_instructions_7_std,-0.2057,0.2057,弱相关,0.0,极显著,0.728,低差异,-27.2031,432656003.8004,314960145.6744,-0.4528,小效应,0.0,显著
cpu_core_instructions_7,max,cpu_core_instructions_7_max,-0.2257,0.2257,弱相关,0.0,极显著,0.7237,低差异,-27.6339,2132488623.7213,1543198866.2593,-0.499,小效应,0.0,显著
cpu_core_instructions_7,med,cpu_core_instructions_7_med,0.2512,0.2512,弱相关,0.0,极显著,2.8534,高差异,185.3373,147559550.2773,421042395.4949,0.5591,中等效应,0.0,显著
cpu_core_iTLB-load-misses_,mean,cpu_core_iTLB-load-misses__mean,0.0824,0.0824,弱相关,8.4e-05,显著,1.1961,低差异,19.6141,348289.7624,416603.5923,0.178,小效应,9.732413793103448e-05,显著
cpu_core_iTLB-load-misses_,std,cpu_core_iTLB-load-misses__std,-0.379,0.379,弱相关,0.0,极显著,0.5644,低差异,-43.5631,529651.7412,298919.1978,-0.8821,大效应,0.0,显著
